date, pm25, pm10, o3, no2, so2, co
2014-09-29, 116, 46, 18, 20, 4, 4
2014-09-30, 77, 91, 1, 30, 2, 8
2014-10-01, 164, 69, 16, 23, 3, 8
2014-10-02, 142, 97, 6, 30, 3, 17
2014-10-03, 192, 79, 24, 21, 2, 11
2014-10-04, 168, 35, 31, 19, 1, 7
2014-10-05, 96, 43, 32, 25, 1, 4
2014-10-06, 91, 112, 35, 45, 6, 11
2014-10-07, 201, 194, 12, 62, 4, 20
2014-10-08, 346, 225, 30, 57, 2, 22
2014-10-09, 415, 180, 58, 49, 7, 20
2014-10-10, 376, 93, 27, 32, 4, 14
2014-10-11, 258, 15, 21, 12, 2, 1
2014-10-12, 28, 24, 23, 17, 2, 2
2014-10-13, 43, 70, 26, 33, 3, 5
2014-10-14, 116, 86, 28, 26, 5, 5
2014-10-15, 108, 72, 33, 27, 5, 5
2014-10-16, 106, 118, 24, 54, 6, 10
2014-10-17, 178, 172, 51, 64, 11, 20
2014-10-18, 251, 237, 30, 59, 5, 22
2014-10-19, 338, 143, 15, 38, 1, 13
2014-10-20, 269, 69, 10, 28, 10, 10
2014-10-21, 114, 102, 2, 35, 6, 10
2014-10-22, 167, 120, 4, 43, 7, 14
2014-10-23, 198, 206, 22, 50, 6, 21
2014-10-24, 304, 223, 27, 53, 3, 23
2014-10-25, 405, 65, 31, 22, 1, 7
2014-10-26, 126, 55, 21, 29, 8, 5
2014-10-27, 91, 82, 19, 33, 8, 8
2014-10-28, 151, 123, 15, 51, 8, 13
2014-10-29, 193, 152, 6, 60, 12, 18
2014-10-30, 240, 125, 9, 44, 8, 19
2014-10-31, 237, 65, 22, 28, 3, 8
2014-11-01, 96, 20, 27, 15, 2, 1
2014-11-02, 32, 43, 32, 29, 3, 5
2014-11-03, 78, 108, 14, 45, 14, 14
2014-11-04, 192, 64, 26, 30, 4, 10
2014-11-05, 119, 23, 29, 12, 4, 3
2014-11-06, 45, 61, 15, 26, 8, 9
2014-11-07, 131, 66, 22, 33, 8, 10
2014-11-08, 161, 55, 26, 32, 3, 8
2014-11-09, 140, 67, 12, 41, 4, 10
2014-11-10, 153, 57, 29, 20, 1, 6
2014-11-11, 89, 42, 31, 7, 1, 1
2014-11-12, 26, 38, 21, 26, 3, 5
2014-11-13, 79, 53, 18, 31, 7, 8
2014-11-14, 113, 136, 1, 58, 24, 23
2014-11-15, 228, 96, 22, 35, 13, 18
2014-11-16, 171, 29, 24, 21, 7, 4
2014-11-17, 73, 82, 7, 43, 18, 13
2014-11-18, 161, 256, 1, 69, 31, 38
2014-11-19, 366, 283, 2, 74, 21, 40
2014-11-20, 403, 181, 13, 55, 10, 25
2014-11-21, 254, 45, 16, 29, 7, 6
2014-11-22, 99, 101, 1, 45, 15, 20
2014-11-23, 191, 74, 17, 36, 7, 16
2014-11-24, 157, 127, 8, 44, 19, 22
2014-11-25, 230, 231, 1, 61, 21, 37
2014-11-26, 345, 92, 24, 28, 7, 11
2014-11-27, 126, 102, 12, 36, 13, 14
2014-11-28, 170, 257, 1, 48, 13, 36
2014-11-29, 350, 156, 29, 19, 7, 10
2014-11-30, 145, 66, 25, 8, 3, 2
2014-12-01, 54, 48, 11, 25, 11, 8
2014-12-02, 112, 52, 29, 14, 5, 5
2014-12-03, 63, 37, 28, 10, 3, 2
2014-12-04, 37, 42, 24, 24, 9, 5
2014-12-05, 76, 71, 15, 37, 19, 15
2014-12-06, 137, 58, 23, 24, 15, 11
2014-12-07, 119, 58, 16, 29, 14, 9
2014-12-08, 122, 255, 2, 59, 41, 54
2014-12-09, 382, 153, 25, 33, 24, 25
2014-12-10, 199, 39, 26, 16, 8, 4
2014-12-11, 72, 42, 22, 12, 5, 2
2014-12-12, 51, 57, 17, 25, 12, 8
2014-12-13, 111, 91, 8, 42, 22, 19
2014-12-14, 174, 95, 26, 26, 17, 14
2014-12-15, 130, 31, 25, 7, 3, 3
2014-12-16, 44, 88, 14, 35, 19, 15
2014-12-17, 161, 121, 3, 43, 45, 34
2014-12-18, 222, 47, 26, 20, 9, 10
2014-12-19, 120, 13, 21, 15, 5, 3
2014-12-20, 41, 30, 19, 16, 6, 4
2014-12-21, 60, 88, 7, 43, 24, 19
2014-12-22, 170, 90, 21, 41, 27, 22
2014-12-23, 170, 34, 28, 16, 9, 3
2014-12-24, 54, 33, 25, 25, 11, 5
2014-12-25, 82, 125, 1, 51, 42, 33
2014-12-26, 226, 167, 2, 67, 48, 40
2014-12-27, 288, 167, 19, 55, 34, 31
2014-12-28, 255, , , , , 
2014-12-31, , 67, 19, 29, 16, 11
2015-01-01, 137, 59, 17, 32, 17, 11
2015-01-02, 123, 140, 3, 54, 45, 33
2015-01-03, 252, 156, 8, 58, 41, 35
2015-01-04, 258, 106, 35, 31, 29, 22
2015-01-05, 150, 43, 23, 21, 13, 6
2015-01-06, 96, 73, 11, 36, 24, 17
2015-01-07, 150, 136, 2, 53, 28, 31
2015-01-08, 222, 83, 24, 38, 22, 18
2015-01-09, 148, 137, 8, 62, 38, 32
2015-01-10, 245, 40, 22, 21, 8, 6
2015-01-11, 79, 85, 17, 33, 23, 15
2015-01-12, 179, 133, 3, 49, 35, 30
2015-01-13, 239, 184, 2, 52, 39, 30
2015-01-14, 288, 307, 2, 61, 28, 41
2015-01-15, 396, 94, 26, 21, 5, 13
2015-01-16, 143, 68, 16, 28, 15, 9
2015-01-17, 120, 100, 32, 29, 18, 17
2015-01-18, 135, 63, 16, 31, 16, 12
2015-01-19, 117, 81, 12, 37, 27, 17
2015-01-20, 169, 22, 30, 18, 7, 4
2015-01-21, 58, 91, 11, 43, 28, 18
2015-01-22, 173, 153, 4, 62, 40, 34
2015-01-23, 276, 84, 12, 34, 17, 15
2015-01-24, 157, , 11, 27, 10, 12
2015-01-25, 189, 32, 29, 22, 6, 14
2015-01-26, 135, 30, 26, 16, 7, 5
2015-01-27, 66, 47, 23, 26, 14, 10
2015-01-28, 99, 55, 28, 21, 13, 9
2015-01-29, 120, 23, 31, 12, 7, 3
2015-01-30, 45, 36, 25, 24, 10, 6
2015-01-31, 84, 75, 15, 36, 22, 15
2015-02-01, 151, 110, 14, 46, 33, 23
2015-02-02, 212, 42, 31, 29, 15, 14
2015-02-03, 167, 37, 32, 10, 5, 2
2015-02-04, 45, 32, 31, 20, 7, 4
